Ticker,Date,EPS_Estimate,Reported_EPS,EPS_Surprise,Earnings_Event,Positive_Earnings_Surprise,Negative_Earnings_Surprise
TCS,2018-10-11,20.83,20.66,-0.84,1,0,1
TCS,2019-01-10,21.81,21.6,-0.94,1,0,1
TCS,2019-04-12,21.26,21.65,1.83,1,1,0
TCS,2019-07-09,20.86,21.67,3.86,1,1,0
TCS,2019-10-10,22.1,21.43,-3.01,1,0,1
TCS,2020-01-17,21.97,21.63,-1.55,1,0,1
TCS,2020-04-16,21.85,21.45,-1.84,1,0,1
TCS,2020-07-09,20.16,18.68,-7.34,1,0,1
TCS,2020-10-07,21.08,19.93,-5.48,1,0,1
TCS,2021-01-08,22.65,23.19,2.39,1,1,0
TCS,2021-04-13,25.09,24.97,-0.47,1,0,1
TCS,2021-07-08,25.21,24.35,-3.42,1,0,1
TCS,2021-10-08,26.18,26.02,-0.6,1,0,1
TCS,2022-01-12,26.87,26.41,-1.72,1,0,1
TCS,2022-04-11,27.06,26.85,-0.78,1,0,1
TCS,2022-07-08,27.01,25.9,-4.09,1,0,1
TCS,2022-10-10,28.2,28.51,1.09,1,1,0
TCS,2023-01-09,30.35,29.64,-2.33,1,0,1
TCS,2023-04-12,31.62,31.14,-1.5,1,0,1
TCS,2023-07-12,29.81,30.26,1.51,1,1,0
TCS,2023-10-11,30.96,31.0,0.14,1,1,0
TCS,2024-01-11,31.7,32.25,1.75,1,1,0
TCS,2024-04-12,33.45,34.37,2.75,1,1,0
TCS,2024-07-11,33.09,33.28,0.56,1,1,0
TCS,2024-10-10,34.8,32.92,-5.39,1,0,1
TCS,2025-01-09,34.22,34.21,-0.03,1,0,1
TCS,2025-04-10,35.09,33.79,-3.72,1,0,1
TCS,2025-07-10,33.75,35.27,4.49,1,1,0
TCS,2025-10-09,34.71,35.74,2.95,1,1,0
TCS,2026-01-12,36.19,36.59,1.1,1,1,0
TCS,2026-04-09,38.11,37.92,-0.5,1,0,1
TCS,2026-07-09,37.33,38.28,2.54,1,1,0
