Date,Ticker,Split,Days_Since_Earnings,Target,Predicted_Label,Confidence,Primary_Driver,Internal_Magnitude,External_Magnitude,Total_Magnitude,Internal_Percentage,External_Percentage,Top_Internal_Feature,Top_Internal_SHAP,Top_External_Feature,Top_External_SHAP
2025-03-05,INFY,Test,48,0,HOLD,0.3713,EXTERNAL,0.075557,0.762562,0.838119,9.02,90.98,Days_Since_Earnings,0.028671,VIX_Level,0.189388
2025-03-05,RELIANCE,Test,48,2,BUY,0.5264,EXTERNAL,0.098239,1.369893,1.468133,6.69,93.31,EPS_Estimate,-0.024439,Close_to_SMA200,0.450329
2025-03-05,TCS,Test,55,1,BUY,0.5919,EXTERNAL,0.066606,1.523285,1.589891,4.19,95.81,Days_Since_Earnings,-0.028066,Close_to_SMA200,0.428567
2025-03-06,INFY,Test,49,0,BUY,0.3761,EXTERNAL,0.077989,0.883264,0.961253,8.11,91.89,EPS_Estimate,-0.028731,SMA20_to_SMA50,0.128604
2025-03-06,RELIANCE,Test,49,2,BUY,0.3819,EXTERNAL,0.104804,0.635749,0.740552,14.15,85.85,EPS_Surprise_Pct,-0.02793,Close_to_SMA200,0.186598
2025-03-06,TCS,Test,56,0,BUY,0.4023,EXTERNAL,0.097961,1.135541,1.233503,7.94,92.06,Reported_EPS,-0.039478,SMA20_to_SMA50,0.194874
2025-03-07,INFY,Test,50,0,BUY,0.4781,EXTERNAL,0.054525,1.035998,1.090523,5.0,95.0,EPS_Estimate,-0.02145,RSI_14,0.146144
2025-03-07,RELIANCE,Test,50,1,HOLD,0.3905,EXTERNAL,0.077349,0.635473,0.712822,10.85,89.15,EPS_Surprise,0.029184,VIX_Level,0.161498
2025-03-07,TCS,Test,57,0,HOLD,0.4282,EXTERNAL,0.30727,0.579159,0.886429,34.66,65.34,Reported_EPS,0.20773,VIX_Level,0.135915
2025-03-10,INFY,Test,53,0,BUY,0.4634,EXTERNAL,0.056271,0.986016,1.042287,5.4,94.6,EPS_Estimate,-0.022462,SMA20_to_SMA50,0.162052
2025-03-10,RELIANCE,Test,53,1,SELL,0.4686,EXTERNAL,0.094151,0.870748,0.964899,9.76,90.24,Days_Since_Earnings,0.054954,Return_21d,0.267484
2025-03-10,TCS,Test,60,0,HOLD,0.5011,EXTERNAL,0.380447,0.860546,1.240993,30.66,69.34,Reported_EPS,0.264525,Volume_to_MA20,0.26083
2025-03-11,INFY,Test,54,0,BUY,0.3944,EXTERNAL,0.069728,0.881582,0.95131,7.33,92.67,EPS_Estimate,-0.025996,SMA20_to_SMA50,0.155822
2025-03-11,RELIANCE,Test,54,1,HOLD,0.4328,EXTERNAL,0.081071,0.530265,0.611336,13.26,86.74,EPS_Surprise,0.032641,VIX_Level,0.206491
2025-03-11,TCS,Test,61,1,BUY,0.4916,EXTERNAL,0.091904,1.027627,1.119531,8.21,91.79,Reported_EPS,-0.033881,Close_to_SMA200,0.25095
2025-03-12,INFY,Test,55,1,BUY,0.4394,EXTERNAL,0.072897,1.069145,1.142042,6.38,93.62,Days_Since_Earnings,-0.042636,SMA20_to_SMA50,0.165238
2025-03-12,RELIANCE,Test,55,1,HOLD,0.4966,EXTERNAL,0.076649,0.554294,0.630943,12.15,87.85,Days_Since_Earnings,0.033999,VIX_Level,0.228264
2025-03-12,TCS,Test,62,2,BUY,0.5737,EXTERNAL,0.079497,1.235695,1.315192,6.04,93.96,Reported_EPS,-0.025915,Close_to_SMA200,0.401703
2025-03-13,INFY,Test,56,1,BUY,0.4649,EXTERNAL,0.075542,1.060264,1.135806,6.65,93.35,Days_Since_Earnings,-0.039422,Close_to_SMA200,0.178911
2025-03-13,RELIANCE,Test,56,2,HOLD,0.3892,EXTERNAL,0.084433,0.46042,0.544853,15.5,84.5,Days_Since_Earnings,0.036723,VIX_Level,0.182716
2025-03-13,TCS,Test,63,2,BUY,0.5121,EXTERNAL,0.077366,1.173353,1.250719,6.19,93.81,EPS_Surprise,-0.029923,Close_to_SMA200,0.368347
2025-03-17,INFY,Test,60,2,BUY,0.3918,EXTERNAL,0.06938,1.019246,1.088625,6.37,93.63,EPS_Estimate,-0.027529,Close_to_SMA200,0.18238
2025-03-17,RELIANCE,Test,60,2,BUY,0.3742,EXTERNAL,0.089385,0.623525,0.71291,12.54,87.46,EPS_Surprise,-0.023749,Normalized_ATR,-0.075456
2025-03-17,TCS,Test,67,2,BUY,0.5604,EXTERNAL,0.083076,1.091471,1.174547,7.07,92.93,EPS_Surprise,-0.021954,Close_to_SMA200,0.385924
2025-03-18,INFY,Test,61,1,HOLD,0.4551,EXTERNAL,0.086851,1.066565,1.153416,7.53,92.47,Days_Since_Earnings,0.043762,VIX_Level,0.207349
2025-03-18,RELIANCE,Test,61,2,HOLD,0.4702,EXTERNAL,0.111459,0.707401,0.81886,13.61,86.39,Days_Since_Earnings,0.047824,VIX_Level,0.196086
2025-03-18,TCS,Test,68,2,HOLD,0.4786,EXTERNAL,0.394468,1.035928,1.430396,27.58,72.42,Reported_EPS,0.256887,Volume_to_MA20,0.289663
2025-03-20,INFY,Test,63,1,HOLD,0.4183,EXTERNAL,0.075848,0.867128,0.942976,8.04,91.96,Days_Since_Earnings,0.03988,VIX_Level,0.164224
2025-03-20,RELIANCE,Test,63,1,HOLD,0.4815,EXTERNAL,0.077623,0.625078,0.702701,11.05,88.95,Days_Since_Earnings,0.037444,VIX_Level,0.216082
2025-03-20,TCS,Test,70,2,HOLD,0.4285,EXTERNAL,0.332013,0.727294,1.059307,31.34,68.66,Reported_EPS,0.207497,VIX_Level,0.143939
2025-03-21,INFY,Test,64,1,BUY,0.4647,EXTERNAL,0.074822,1.060683,1.135505,6.59,93.41,Days_Since_Earnings,0.024262,RSI_14,0.150522
2025-03-21,RELIANCE,Test,64,1,HOLD,0.532,EXTERNAL,0.071568,0.636776,0.708344,10.1,89.9,Days_Since_Earnings,0.039699,VIX_Level,0.258254
2025-03-21,TCS,Test,71,1,HOLD,0.4213,EXTERNAL,0.324976,0.675186,1.000161,32.49,67.51,Reported_EPS,0.190351,VIX_Level,0.134163
2025-03-24,INFY,Test,67,0,BUY,0.4828,EXTERNAL,0.086784,0.927323,1.014107,8.56,91.44,Days_Since_Earnings,0.029622,Close_to_SMA200,0.148657
2025-03-24,RELIANCE,Test,67,0,HOLD,0.5774,EXTERNAL,0.130614,0.970151,1.100764,11.87,88.13,Days_Since_Earnings,0.083608,VIX_Level,0.249702
2025-03-24,TCS,Test,74,0,HOLD,0.4821,EXTERNAL,0.297509,0.610768,0.908278,32.76,67.24,Reported_EPS,0.176854,VIX_Level,0.117047
2025-03-25,INFY,Test,68,0,BUY,0.407,EXTERNAL,0.110953,0.681394,0.792347,14.0,86.0,Days_Since_Earnings,0.036902,RSI_14,0.13549
2025-03-25,RELIANCE,Test,68,0,HOLD,0.4605,EXTERNAL,0.121063,0.634534,0.755598,16.02,83.98,Days_Since_Earnings,0.077075,VIX_Level,0.202115
2025-03-25,TCS,Test,75,0,HOLD,0.5138,EXTERNAL,0.306986,0.605986,0.912973,33.62,66.38,Reported_EPS,0.179406,VIX_Level,0.17567
2025-03-26,INFY,Test,69,0,BUY,0.4459,EXTERNAL,0.106365,0.77145,0.877815,12.12,87.88,Days_Since_Earnings,0.037934,RSI_14,0.130128
2025-03-26,RELIANCE,Test,69,1,HOLD,0.4056,EXTERNAL,0.124835,0.601579,0.726414,17.19,82.81,Days_Since_Earnings,0.078717,VIX_Level,0.21343
2025-03-26,TCS,Test,76,0,HOLD,0.5713,EXTERNAL,0.370112,0.584437,0.954548,38.77,61.23,Reported_EPS,0.219576,VIX_Level,0.120809
2025-03-27,INFY,Test,70,0,BUY,0.4242,EXTERNAL,0.115936,0.762907,0.878843,13.19,86.81,Days_Since_Earnings,0.037761,RSI_14,0.119618
2025-03-27,RELIANCE,Test,70,0,HOLD,0.4358,EXTERNAL,0.140241,0.656805,0.797047,17.6,82.4,Days_Since_Earnings,0.088425,VIX_Level,0.241051
2025-03-27,TCS,Test,77,0,HOLD,0.5622,EXTERNAL,0.353055,0.554487,0.907543,38.9,61.1,Reported_EPS,0.212569,VIX_Level,0.163459
2025-03-28,INFY,Test,71,0,BUY,0.5104,EXTERNAL,0.109823,0.908693,1.018515,10.78,89.22,Days_Since_Earnings,0.037165,Close_to_SMA200,0.316561
2025-03-28,RELIANCE,Test,71,0,BUY,0.3531,EXTERNAL,0.109239,0.707401,0.81664,13.38,86.62,EPS_Surprise,-0.031627,Normalized_ATR,-0.092766
2025-03-28,TCS,Test,78,0,HOLD,0.4636,EXTERNAL,0.310454,0.549675,0.860129,36.09,63.91,Reported_EPS,0.191044,VIX_Level,0.147045
2025-04-01,INFY,Test,75,0,BUY,0.5112,EXTERNAL,0.105701,0.92777,1.033471,10.23,89.77,Days_Since_Earnings,0.043559,Close_to_SMA200,0.352189
2025-04-01,RELIANCE,Test,75,0,BUY,0.3835,EXTERNAL,0.10871,0.678174,0.786885,13.82,86.18,EPS_Surprise,-0.031614,Normalized_ATR,-0.095969
2025-04-01,TCS,Test,82,0,HOLD,0.3963,EXTERNAL,0.334796,0.633891,0.968687,34.56,65.44,Reported_EPS,0.185519,VIX_Level,0.178233
2025-04-02,INFY,Test,76,0,BUY,0.4817,EXTERNAL,0.107759,0.964978,1.072737,10.05,89.95,Days_Since_Earnings,0.037944,Close_to_SMA200,0.346468
2025-04-02,RELIANCE,Test,76,0,HOLD,0.3638,EXTERNAL,0.125369,0.753822,0.879192,14.26,85.74,Days_Since_Earnings,0.058146,VIX_Level,0.244368
2025-04-02,TCS,Test,83,0,BUY,0.4351,EXTERNAL,0.175845,0.908333,1.084178,16.22,83.78,Reported_EPS,-0.074444,Close_to_SMA200,0.274157
2025-04-03,INFY,Test,77,0,BUY,0.5487,EXTERNAL,0.090937,1.013281,1.104218,8.24,91.76,Days_Since_Earnings,0.031715,Close_to_SMA200,0.448408
2025-04-03,RELIANCE,Test,77,0,BUY,0.3446,EXTERNAL,0.111162,0.698837,0.809998,13.72,86.28,EPS_Surprise,-0.030855,Normalized_ATR,-0.088968
2025-04-03,TCS,Test,84,0,BUY,0.458,EXTERNAL,0.117926,0.945703,1.063629,11.09,88.91,Reported_EPS,-0.051391,Close_to_SMA200,0.313024
2025-04-04,INFY,Test,78,1,BUY,0.5705,EXTERNAL,0.081006,1.131374,1.21238,6.68,93.32,Days_Since_Earnings,0.038874,Close_to_SMA200,0.432811
2025-04-04,RELIANCE,Test,78,2,BUY,0.4069,EXTERNAL,0.104802,0.887311,0.992113,10.56,89.44,EPS_Estimate,-0.034001,Normalized_MACD_Hist,-0.11107
2025-04-04,TCS,Test,85,1,BUY,0.5179,EXTERNAL,0.05357,1.220793,1.274364,4.2,95.8,Reported_EPS,-0.025457,Close_to_SMA200,0.375245
2025-04-07,INFY,Test,81,1,BUY,0.524,EXTERNAL,0.091816,1.019431,1.111247,8.26,91.74,Days_Since_Earnings,0.050194,Close_to_SMA200,0.240456
2025-04-07,RELIANCE,Test,81,2,BUY,0.5974,EXTERNAL,0.086729,1.064039,1.150768,7.54,92.46,Days_Since_Earnings,0.022344,Close_to_SMA200,0.301669
2025-04-07,TCS,Test,88,1,BUY,0.5267,EXTERNAL,0.112675,1.164058,1.276733,8.83,91.17,Days_Since_Earnings,0.049297,Close_to_SMA200,0.288555
2025-04-08,INFY,Test,82,1,BUY,0.5494,EXTERNAL,0.081261,1.259427,1.340688,6.06,93.94,Days_Since_Earnings,0.046592,Close_to_SMA200,0.358226
2025-04-08,RELIANCE,Test,82,2,BUY,0.5138,EXTERNAL,0.11056,0.92135,1.03191,10.71,89.29,Days_Since_Earnings,0.031486,Normalized_MACD_Hist,-0.146455
2025-04-08,TCS,Test,89,1,BUY,0.5795,EXTERNAL,0.107465,1.244046,1.351511,7.95,92.05,Days_Since_Earnings,0.044029,Close_to_SMA200,0.357048
2025-04-09,INFY,Test,83,2,BUY,0.5526,EXTERNAL,0.092804,1.223282,1.316086,7.05,92.95,Days_Since_Earnings,0.053215,Close_to_SMA200,0.356741
2025-04-09,RELIANCE,Test,83,2,BUY,0.4212,EXTERNAL,0.09678,0.811414,0.908194,10.66,89.34,Days_Since_Earnings,0.025546,Close_to_SMA200,0.142022
2025-04-09,TCS,Test,90,2,BUY,0.5934,EXTERNAL,0.103386,1.21121,1.314596,7.86,92.14,Days_Since_Earnings,0.048657,Close_to_SMA200,0.392104
2025-04-11,INFY,Test,85,1,BUY,0.5735,EXTERNAL,0.087129,1.310759,1.397888,6.23,93.77,Days_Since_Earnings,0.045911,Close_to_SMA200,0.384135
